836-36-7263,Sur,Sri,H,001,AG,01/2023,197783946,2031,24.28,,REVERSAL
836-36-7263,Sur,Sri,H,001,AG,02/2023,197783946,2131,24.28,,REVERSAL
836-36-7263,Sur,Sri,H,001,AG,03/2023,197783946,1829,24.28,,REVERSAL
836-36-7263,Sur,Sri,H,001,HH,03/2021,199314501,132.36,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,04/2021,199314501,527,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,05/2021,199314501,527,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,06/2021,199314501,527,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,07/2021,199314501,432,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,IV,04/2021,199497870,71.64,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,IV,05/2021,199497870,446.08,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,06/2020,199394324,356,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,07/2020,199394324,356,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,08/2020,199394324,356,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,09/2020,199394324,147.72,24.28,,OFFSET
836-36-7263,Sur,Sri,H,004,HH,10/2020,199536281,170.96,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,03/2021,199490617,728.72,24.28,,OFFSET
836-36-7263,Sur,Sri,H,003,HH,01/2022,199510685,262.46,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,10/2016,199495197,354,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,11/2016,199495197,354,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,12/2016,199495197,21.72,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,03/2023,199537088,18.36,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,03/2023,199546805,130.91,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,01/2023,199529613,37.36,21.64,,OFFSET
836-36-7263,Sur,Sri,H,004,IV,10/2006,199318696,126.71,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,01/2016,199494258,43,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,02/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,03/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,04/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,05/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,06/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,07/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,08/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,09/2016,199494258,343,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,10/2016,199494258,89,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,12/2016,199494258,191,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,IV,01/2017,199494259,271.18,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,07/2017,199520133,104.62,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,08/2017,199520133,73.84,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,02/2018,199495916,706.84,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,03/2018,199495916,71.63,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,11/2018,199510591,155.39,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,09/2018,199539078,97.36,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,03/2019,199532400,13.36,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,02/2022,199522793,257.03,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,03/2022,199522793,9.48,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,12/2019,199522799,105.26,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,01/2020,199522799,54.75,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,05/2020,199513431,189.79,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,03/2019,199317838,249.36,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,HH,11/2017,199317837,48.08,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,HH,12/2017,199317837,281,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,HH,01/2018,199317837,274,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,HH,02/2018,199317837,274,24.28,,OFFSET
836-36-7263,Sur,Sri,H,002,HH,03/2018,199317837,274,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,07/2014,199529643,48.84,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,08/2014,199529643,24.52,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,01/2016,199509615,3,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,02/2016,199509615,141.41,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,IV,07/2015,199528916,126.86,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,08/2016,199539045,38.77,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,09/2016,199539045,119.59,21.64,,OFFSET
836-36-7263,Sur,Sri,H,002,IV,07/2015,199520122,122.51,21.64,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,06/2015,199356353,210,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,HH,08/2015,199484056,204.72,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,09/2015,199483966,551,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,10/2015,199483966,590,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,11/2015,199483966,590,24.28,,OFFSET
836-36-7263,Sur,Sri,H,001,AG,12/2015,199483966,590,24.28,,OFFSET
