14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-12-3456,TEST,USER1,A,HI 96817-5052,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-23-4234,TEST,USER2,B,HI 96747-8300,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-12-3451,TEST,USER3,C,HI 96815-3369,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-23-4244,TEST,USER4,,HI 96786-5705,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-22-3456,TEST,USER5,D,HI 96816-6138,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-83-4234,TEST,USER6,E,HI 96763-2388,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-32-3456,TEST,USER7,F,HI 96755-1411,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-25-4234,TEST,USER8,G,HI 96797-2224,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-19-3456,TEST,USER9,,HI 96792-4137,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-24-4234,TEST,USER10,I,HI 96740-9574,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-42-3456,TEST,USER11,J,HI 96817-5811,02/16/2023,
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-73-4234,TEST,USER12,K,HI 96778-0710,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-84-4234,TEST,USER13,L,HI 96786-2887,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-62-3456,TEST,USER14,,HI 96786-0323,02/16/2023,
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-53-4234,TEST,USER15,,HI 96746-1352,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-99-3456,TEST,USER16,,HI 96817-4238,02/16/2023,Y
14,NO LONGER TOP ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-88-4234,TEST,USER17,,HI 96720-3305,02/16/2023,Y
15,NO LONGER MED ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-94-1654,TEST,USER18,,HI 96721-3305,02/16/2023,Y
15,NO LONGER MED ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-18-9193,TEST,USER19,,HI 96722-3305,02/16/2023,Y
16,NO LONGER LOW ELIGIBLE - CLIENT ACTIVE FOR FOOD STAMPS,123-24-6824,TEST,USER20,Z,HI 96723-3305,02/16/2023,Y
04,SSN APPEARS INVALID-VERIFY SSN,123-13-5799,TEST,USER21,D,HI 96724-3305,02/16/2023,Y
