28,CP,HH,123-45-6701,SIVA,R,JALIPARTHI,10/24/2019,1000
28,CP,HH,123-45-6702,SRI,H,SURAPANENI,10/24/2019,1
28,CP,IV,123-45-6703,HARISH,K,POKALA,10/24/2019,1000
28,DS,AG,123-45-6701,SIVA,R,JALIPARTHI,10/24/2019,1000
28,DS,HH,123-45-6702,SRI,H,SURAPANENI,10/24/2019,1
55,CP,HH,123-45-6701,SIVA,R,JALIPARTHI,10/24/2019,1
55,CP,HH,123-45-6702,SRI,H,SURAPANENI,10/24/2019,1
55,CP,HH,123-45-6703,HARISH,K,POKALA,10/24/2019,1
55,CP,HH,123-45-6704,SRINI,,KATHIRAVAN,10/24/2019,1
55,CP,HH,123-45-6705,VIJAY,,MANGILAPALLI,10/24/2019,1
55,DS,HH,123-45-6701,SIVA,R,JALIPARTHI,10/24/2019,1
55,DS,HH,123-45-6702,SRI,H,SURAPANENI,10/24/2019,1
05,DS,HH,123-45-6701,SIVA,R,JALIPARTHI,10/24/2019,1
28,CP,HH,123-45-6704,SRINI,,KATHIRAVAN,10/24/2019,1
28,CP,HH,123-45-6705,VIJAY,,MANGILAPALLI,10/24/2019,1
