31,AG,AR,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,14.00
31,AG,AR,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,16.00
31,HH,AR,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,18.00
31,HH,AR,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,16,20.00
31,IV,AR,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,22.00
31,IV,AR,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,24.00
31,AG,CP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,14.00
31,AG,CP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,16.00
31,HH,CP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,18.00
31,HH,CP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,20.00
31,IV,CP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,22.00
31,IV,CP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,24.00
31,AG,OP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,14.00
31,AG,OP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,16.00
31,HH,OP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,18.00
31,HH,OP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,20.00
31,IV,OP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,14,22.00
31,IV,OP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,24.00
32,AG,AR,098-76-5432,12-3223,233,L1,F1,M1,12/21/2016,10/16,,2.00
32,AG,AR,098-76-5433,12-3223,234,L2,F2,M2,12/21/2016,01/15,,4.00
32,HH,AR,098-76-7465,12-3223,234,L2,F2,M2,12/21/2016,01/15,,6.00
32,HH,AR,098-76-5436,12-3223,235,L2,F2,M2,12/21/2016,07/15,,8.00
32,IV,AR,098-76-5436,12-3223,237,L3,F3,M3,12/21/2016,05/15,,10.00
32,IV,AR,098-76-5435,12-3223,236,L2,F2,M2,12/21/2016,08/15,,12.00
32,AG,CP,098-76-5432,12-3223,233,L1,F1,M1,12/21/2016,10/16,,2.00
32,AG,CP,098-76-5433,12-3223,234,L2,F2,M2,12/21/2016,01/15,,4.00
32,HH,CP,098-76-7465,12-3223,234,L2,F2,M2,12/21/2016,01/15,,6.00
32,HH,CP,098-76-5436,12-3223,235,L2,F2,M2,12/21/2016,07/15,,8.00
32,IV,CP,098-76-5436,12-3223,237,L3,F3,M3,12/21/2016,05/15,,10.00
32,IV,CP,098-76-5435,12-3223,236,L2,F2,M2,12/21/2016,08/15,,12.00
32,AG,OP,098-76-5432,12-3223,233,L1,F1,M1,12/21/2016,10/16,16,2.00
32,AG,OP,098-76-5433,12-3223,234,L2,F2,M2,12/21/2016,01/15,,4.00
32,HH,OP,098-76-7465,12-3223,234,L2,F2,M2,12/21/2016,01/15,,6.00
32,HH,OP,098-76-5436,12-3223,235,L2,F2,M2,12/21/2016,07/15,,8.00
32,IV,OP,098-76-5436,12-3223,237,L3,F3,M3,12/21/2016,05/15,,10.00
32,IV,OP,098-76-5435,12-3223,236,L2,F2,M2,12/21/2016,08/15,,12.00
33,AG,AR,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,14.00
33,AG,AR,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,16.00
33,HH,AR,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,18.00
33,HH,AR,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,20.00
33,IV,AR,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,22.00
33,IV,AR,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,24.00
33,AG,CP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,14.00
33,AG,CP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,16.00
33,HH,CP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,18.00
33,HH,CP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,20.00
33,IV,CP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,22.00
33,IV,CP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,24.00
33,AG,OP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,14.00
33,AG,OP,098-76-5437,12-3223,238,L4,F4,M4,12/13/2016,10/15,,16.00
33,HH,OP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,18.00
33,HH,OP,098-76-5439,12-3223,210,L5,F5,M5,12/01/2016,10/15,,20.00
33,IV,OP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,22.00
33,IV,OP,098-76-5438,12-3223,239,L4,F4,M4,12/10/2016,10/15,,24.00
