OFFSETS,clientLName1,,,123-45-6789,2009/09,DCR001089,0.00,0.00,100.00
OFFSETS,,clientFName2,,023-45-6789,2009/10,DCR001092,80.00,0.00,0.00
OFFSETS,clientLName3,,L,013-45-6789,2009/11,DCR001100,100.00,0.00,0.00
OFFSETS,clientLName4,clientFName4,H,123-40-6789,2009/12,DCR001089,0.00,0.00,100.00
OFFSETS,clientName5,,,223-45-6789,2009/13,DCR001092,80.00,0.00,0.00
OFFSETS,clientName6,,,313-45-6789,2009/14,DCR001100,0.00,90.00,0.00
OFFSETS,clientName7,,,423-45-6789,2009/15,DCR001089,0.00,0.00,100.00
OFFSETS,clientName8,,,523-45-6789,2009/16,DCR001092,80.00,0.00,0.00
OFFSETS,clientName9,,,613-45-6789,2009/17,DCR001100,0.00,90.00,0.00
OFFSETS,clientName10,,,723-45-6789,2009/18,DCR001089,0.00,0.00,100.00
OFFSETS,clientName11,,,823-45-6789,2009/19,DCR001092,80.00,0.00,0.00
OFFSETS,clientName12,,,913-45-6789,2009/20,DCR001100,0.00,90.00,0.00
VOLUNTARY PAYMENTS,clientName21,,,123-45-6780,2009/09,DCR001089,0.00,0.00,100.00
VOLUNTARY PAYMENTS,clientName22,,,023-45-6780,2009/10,DCR001092,80.00,0.00,0.00
VOLUNTARY PAYMENTS,clientName23,,,013-45-6780,2009/11,DCR001100,100.00,0.00,0.00
VOLUNTARY PAYMENTS,clientName24,,,123-45-6780,2009/09,DCR001089,0.00,0.00,100.00
VOLUNTARY PAYMENTS,clientName25,,,223-45-6780,2009/10,DCR001092,80.00,0.00,0.00
VOLUNTARY PAYMENTS,clientName26,,,313-45-6780,2009/11,DCR001100,0.00,90.00,0.00
VOLUNTARY PAYMENTS,clientName27,,,423-45-6780,2009/09,DCR001089,0.00,0.00,100.00
VOLUNTARY PAYMENTS,clientName28,,,523-45-6780,2009/10,DCR001092,80.00,0.00,0.00
VOLUNTARY PAYMENTS,clientName29,,,613-45-6780,2009/11,DCR001100,0.00,-90.00,0.00
VOLUNTARY PAYMENTS,clientName34,,,123-45-0780,2009/09,DCR001089,0.00,0.00,100.00
VOLUNTARY PAYMENTS,clientName35,,,223-45-0780,2009/10,DCR001092,80.00,0.00,0.00
VOLUNTARY PAYMENTS,clientName36,,,313-45-0780,2009/11,DCR001100,0.00,90.00,0.00
VOLUNTARY PAYMENTS,clientName37,,,423-45-0780,2009/09,DCR001089,0.00,0.00,100.00
VOLUNTARY PAYMENTS,clientName38,,,523-45-0780,2009/10,DCR001092,80.00,0.00,0.00
VOLUNTARY PAYMENTS,clientName39,,,613-45-0780,2009/11,DCR001100,0.00,-90.00,0.00
