12/31/2016,31,Sri,H,Surapaneni,1,847-37-3746,0.00,0.00,288.77,04/26/2016,0,N,
12/31/2016,31,Barry,H,Williams,1,847-37-7890,0.00,0.00,288.77,04/26/2016,0,N,Y
12/31/2016,31,Jane,,Doe,1,123-37-3746,0.00,0.00,288.77,04/26/2016,0,N,N
12/31/2016,31,John,,Doe,1,123-45-3746,0.00,0.00,288.77,04/26/2016,0,N,
12/31/2016,32,Sri,H,Surapaneni,1,847-37-3746,0.00,0.00,288.77,04/26/2016,0,N,
12/31/2016,32,Barry,H,Williams,1,847-37-7890,0.00,0.00,288.77,04/26/2016,0,N,
12/31/2016,32,Jane,,Doe,1,123-37-3746,0.00,0.00,288.77,04/26/2016,0,N,
12/31/2016,32,John,,Doe,1,123-45-3746,0.00,0.00,288.77,04/26/2016,0,N,
12/31/2016,33,Sri,H,Surapaneni,1,847-37-3746,0.00,0.00,288.77,04/26/2016,0,N,Y
12/31/2016,33,Barry,H,Williams,1,847-37-7890,0.00,0.00,288.77,04/26/2016,0,N,N
12/31/2016,33,Jane,,Doe,1,123-37-3746,0.00,2.4,288.77,04/26/2016,0,N,Y
12/31/2016,33,John,,Doe,1,123-45-3746,1,0.00,288.77,04/26/2016,0,N,N
